"Name","Poverty by Race/Ethnicity"
"Description","Individuals living in households with incomes below the Federal Poverty Level (FPL) by racial/ethnic groups.&nbsp;Racial/ethnic groups are defined as follows: White = non-Latino White alone, Black = non-Latino Black alone, Asian = non-Latino Asian or Pacific Islander alone, Latino = Latino of any race.&nbsp;"
"Source Notes","U.S. Census Bureau, American Community Survey 1-Year Estimates, Public Use Microdata Sample File (2007-2018); retrieved from <a href=""https://data.census.gov/"">https://data.census.gov/</a>."
"Notes","The Federal Poverty Level (FPL) is an income threshold calculated by the U.S. Census Bureau each year for the purpose of estimating the number of individuals and households living in poverty. The income threshold varies based on the number of children and adults in a household and the age of the head of household. In 2018, the FPL for a household consisting of two adults and two children was $25,100. The Census Bureau excludes institutionalized individuals, individuals living in military group quarters or college dorms, and unrelated individuals under 15 years of age from poverty estimates.&nbsp;<br />
<br />
Poverty data displayed in Race/Ethnicity breakdown may differ slightly from poverty data displayed in Total breakdown because data in Race/Ethnicity breakdown were derived from Census Public Use Microdata files, while data in Total breakdown were derived from Census summary table files. (See sources.)&nbsp;Percents refer to the percent of the population of the selected racial/ethnic group for whom poverty status was determined.&nbsp;"
Staten Island,White,2007,Percent,0.06685,36085
Staten Island,Black,2007,Percent,0.26915,36085
Staten Island,Latino,2007,Percent,0.13372,36085
Staten Island,Asian,2007,Percent,0.06499,36085
New York City,All Races and Ethnicities,2007,Number,1478777,3651000
New York City,White,2007,Number,312172,3651000
New York City,Black,2007,Number,376386,3651000
New York City,Latino,2007,Number,608992,3651000
New York City,Asian,2007,Number,159085,3651000
New York City,All Races and Ethnicities,2007,Percent,0.1787,3651000
New York City,White,2007,Percent,0.10726,3651000
New York City,Black,2007,Percent,0.19349,3651000
New York City,Latino,2007,Percent,0.26854,3651000
New York City,Asian,2007,Percent,0.16564,3651000
New York City,Asian,2014,Number,230349,3651000
New York City,Black,2014,Number,401821,3651000
New York City,Latino,2014,Number,688962,3651000
New York City,White,2014,Number,339295,3651000
New York City,All Races and Ethnicities,2014,Number,1697884,3651000
Bronx,Asian,2014,Number,13291,36005
Bronx,Black,2014,Number,110463,36005
Bronx,Latino,2014,Number,284308,36005
Bronx,White,2014,Number,20047,36005
Bronx,All Races and Ethnicities,2014,Number,432907,36005
Brooklyn,Asian,2014,Number,75851,36047
Brooklyn,Black,2014,Number,170816,36047
Brooklyn,Latino,2014,Number,150309,36047
Brooklyn,White,2014,Number,181997,36047
Brooklyn,All Races and Ethnicities,2014,Number,588278,36047
Manhattan,Asian,2014,Number,34918,36061
Manhattan,Black,2014,Number,52976,36061
Manhattan,Latino,2014,Number,116166,36061
Manhattan,White,2014,Number,62953,36061
Manhattan,All Races and Ethnicities,2014,Number,272473,36061
Queens,Asian,2014,Number,103968,36081
Queens,Black,2014,Number,58660,36081
Queens,Latino,2014,Number,116180,36081
Queens,White,2014,Number,47354,36081
Queens,All Races and Ethnicities,2014,Number,337814,36081
Staten Island,Asian,2014,Number,2321,36085
Staten Island,Black,2014,Number,8906,36085
Staten Island,Latino,2014,Number,21999,36085
Staten Island,White,2014,Number,26944,36085
Staten Island,All Races and Ethnicities,2014,Number,66412,36085
New York City,Asian,2014,Percent,0.20039,3651000
New York City,Black,2014,Percent,0.21673,3651000
New York City,Latino,2014,Percent,0.28384,3651000
New York City,White,2014,Percent,0.1261,3651000
New York City,All Races and Ethnicities,2014,Percent,0.20325,3651000
Bronx,Asian,2014,Percent,0.25139,36005
Bronx,Black,2014,Percent,0.26735,36005
Bronx,Latino,2014,Percent,0.36586,36005
Bronx,White,2014,Percent,0.14644,36005
Bronx,All Races and Ethnicities,2014,Percent,0.30858,36005
Brooklyn,Asian,2014,Percent,0.24833,36047
Brooklyn,Black,2014,Percent,0.21281,36047
Brooklyn,Latino,2014,Percent,0.29716,36047
Brooklyn,White,2014,Percent,0.1962,36047
Brooklyn,All Races and Ethnicities,2014,Percent,0.22646,36047
Manhattan,Asian,2014,Percent,0.18998,36061
Manhattan,Black,2014,Percent,0.26921,36061
Manhattan,Latino,2014,Percent,0.27942,36061
Manhattan,White,2014,Percent,0.08462,36061
Manhattan,All Races and Ethnicities,2014,Percent,0.17147,36061
Queens,Asian,2014,Percent,0.18195,36081
Queens,Black,2014,Percent,0.14657,36081
Queens,Latino,2014,Percent,0.18045,36081
Queens,White,2014,Percent,0.08028,36081
Queens,All Races and Ethnicities,2014,Percent,0.1471,36081
Staten Island,Asian,2014,Percent,0.06445,36085
Staten Island,Black,2014,Percent,0.21637,36085
Staten Island,Latino,2014,Percent,0.25947,36085
Staten Island,White,2014,Percent,0.09213,36085
Staten Island,All Races and Ethnicities,2014,Percent,0.14207,36085
Riverdale,Asian,2014,Number,569,208
Riverdale,Black,2014,Number,3082,208
Riverdale,Latino,2014,Number,15176,208
Riverdale,White,2014,Number,3193,208
Williamsbridge,Asian,2014,Number,70,212
Williamsbridge,Black,2014,Number,13669,212
Williamsbridge,Latino,2014,Number,11047,212
Williamsbridge,White,2014,Number,2138,212
Throgs Neck,Asian,2014,Number,507,210
Throgs Neck,Black,2014,Number,2544,210
Throgs Neck,Latino,2014,Number,5636,210
Throgs Neck,White,2014,Number,2748,210
Pelham Parkway,Asian,2014,Number,1844,211
Pelham Parkway,Black,2014,Number,3754,211
Pelham Parkway,Latino,2014,Number,13167,211
Pelham Parkway,White,2014,Number,4738,211
Morrisania,Asian,2014,Number,309.20434,203
Morrisania,Black,2014,Number,9329.45825,203
Morrisania,Latino,2014,Number,23169.77732,203
Morrisania,White,2014,Number,1066.55928,203
East Tremont,Asian,2014,Number,322.79566,206
East Tremont,Black,2014,Number,9739.54175,206
East Tremont,Latino,2014,Number,24188.22268,206
East Tremont,White,2014,Number,1113.44072,206
Bedford Park,Asian,2014,Number,5706,207
Bedford Park,Black,2014,Number,2357,207
Bedford Park,Latino,2014,Number,33794,207
Bedford Park,White,2014,Number,674,207
University Heights,Asian,2014,Number,110,205
University Heights,Black,2014,Number,15507,205
University Heights,Latino,2014,Number,42584,205
University Heights,White,2014,Number,935,205
Concourse/Highbridge,Asian,2014,Number,1223,204
Concourse/Highbridge,Black,2014,Number,14727,204
Concourse/Highbridge,Latino,2014,Number,34948,204
Concourse/Highbridge,White,2014,Number,550,204
Unionport/Soundview,Asian,2014,Number,2168,209
Unionport/Soundview,Black,2014,Number,17017,209
Unionport/Soundview,Latino,2014,Number,32947,209
Unionport/Soundview,White,2014,Number,2348,209
Mott Haven,Asian,2014,Number,294.07772,201
Mott Haven,Black,2014,Number,11926.69757,201
Mott Haven,Latino,2014,Number,30331.37994,201
Mott Haven,White,2014,Number,345.6368,201
Hunts Point,Asian,2014,Number,167.92228,202
Hunts Point,Black,2014,Number,6810.30243,202
Hunts Point,Latino,2014,Number,17319.62006,202
Hunts Point,White,2014,Number,197.3632,202
Washington Heights,Asian,2014,Number,2331,112
Washington Heights,Black,2014,Number,3744,112
Washington Heights,Latino,2014,Number,40660,112
Washington Heights,White,2014,Number,7082,112
Manhattanville,Asian,2014,Number,3505,109
Manhattanville,Black,2014,Number,6970,109
Manhattanville,Latino,2014,Number,14675,109
Manhattanville,White,2014,Number,5409,109
Central Harlem,Asian,2014,Number,616,110
Central Harlem,Black,2014,Number,23723,110
Central Harlem,Latino,2014,Number,11060,110
Central Harlem,White,2014,Number,2565,110
East Harlem,Asian,2014,Number,3490,111
East Harlem,Black,2014,Number,10007,111
East Harlem,Latino,2014,Number,24360,111
East Harlem,White,2014,Number,2222,111
Upper East Side,Asian,2014,Number,1223,108
Upper East Side,Black,2014,Number,448,108
Upper East Side,Latino,2014,Number,3442,108
Upper East Side,White,2014,Number,13868,108
Upper West Side,Asian,2014,Number,485,107
Upper West Side,Black,2014,Number,618,107
Upper West Side,Latino,2014,Number,6029,107
Upper West Side,White,2014,Number,5193,107
Chelsea/Clinton,Asian,2014,Number,1689.4491,104
Chelsea/Clinton,Black,2014,Number,2260.59619,104
Chelsea/Clinton,Latino,2014,Number,1801.41259,104
Chelsea/Clinton,White,2014,Number,5592.17647,104
Midtown Business District,Asian,2014,Number,845.5509,105
Midtown Business District,Black,2014,Number,1131.40381,105
Midtown Business District,Latino,2014,Number,901.58741,105
Midtown Business District,White,2014,Number,2798.82353,105
Murray Hill/Stuyvesant,Asian,2014,Number,4603,106
Murray Hill/Stuyvesant,Black,2014,Number,963,106
Murray Hill/Stuyvesant,Latino,2014,Number,963,106
Murray Hill/Stuyvesant,White,2014,Number,7447,106
Lower East Side,Asian,2014,Number,14797,103
Lower East Side,Black,2014,Number,2692,103
Lower East Side,Latino,2014,Number,9597,103
Lower East Side,White,2014,Number,5862,103
Battery Park/Tribeca,Asian,2014,Number,538.32387,101
Battery Park/Tribeca,Black,2014,Number,169.21058,101
Battery Park/Tribeca,Latino,2014,Number,1081.09002,101
Battery Park/Tribeca,White,2014,Number,1984.48873,101
Greenwich Village,Asian,2014,Number,794.67613,102
Greenwich Village,Black,2014,Number,249.78942,102
Greenwich Village,Latino,2014,Number,1595.90998,102
Greenwich Village,White,2014,Number,2929.51127,102
Tottenville,Asian,2014,Number,569,503
Tottenville,Black,2014,Number,74,503
Tottenville,Latino,2014,Number,1825,503
Tottenville,White,2014,Number,13348,503
South Beach,Asian,2014,Number,975,502
South Beach,Black,2014,Number,783,502
South Beach,Latino,2014,Number,1828,502
South Beach,White,2014,Number,7342,502
St. George,Asian,2014,Number,777,501
St. George,Black,2014,Number,8049,501
St. George,Latino,2014,Number,18346,501
St. George,White,2014,Number,6254,501
Williamsburg/Greenpoint,Asian,2014,Number,2402,301
Williamsburg/Greenpoint,Black,2014,Number,2769,301
Williamsburg/Greenpoint,Latino,2014,Number,8330,301
Williamsburg/Greenpoint,White,2014,Number,20082,301
Bushwick,Asian,2014,Number,1745,304
Bushwick,Black,2014,Number,7317,304
Bushwick,Latino,2014,Number,23301,304
Bushwick,White,2014,Number,3587,304
Bedford Stuyvesant,Asian,2014,Number,1111,303
Bedford Stuyvesant,Black,2014,Number,16538,303
Bedford Stuyvesant,Latino,2014,Number,7621,303
Bedford Stuyvesant,White,2014,Number,10022,303
Fort Greene/Brooklyn Hts,Asian,2014,Number,1929,302
Fort Greene/Brooklyn Hts,Black,2014,Number,6290,302
Fort Greene/Brooklyn Hts,Latino,2014,Number,5174,302
Fort Greene/Brooklyn Hts,White,2014,Number,5740,302
Park Slope,Asian,2014,Number,1337,306
Park Slope,Black,2014,Number,2405,306
Park Slope,Latino,2014,Number,4402,306
Park Slope,White,2014,Number,2566,306
Crown Heights North,Asian,2014,Number,1580,308
Crown Heights North,Black,2014,Number,21605,308
Crown Heights North,Latino,2014,Number,5087,308
Crown Heights North,White,2014,Number,3294,308
Brownsville,Asian,2014,Number,174,316
Brownsville,Black,2014,Number,28317,316
Brownsville,Latino,2014,Number,12466,316
Brownsville,White,2014,Number,1053,316
East New York,Asian,2014,Number,1450,305
East New York,Black,2014,Number,20413,305
East New York,Latino,2014,Number,19251,305
East New York,White,2014,Number,2522,305
Canarsie,Asian,2014,Number,972,318
Canarsie,Black,2014,Number,16193,318
Canarsie,Latino,2014,Number,4230,318
Canarsie,White,2014,Number,3649,318
East Flatbush,Asian,2014,Number,1529,317
East Flatbush,Black,2014,Number,20011,317
East Flatbush,Latino,2014,Number,3516,317
East Flatbush,White,2014,Number,256,317
Crown Heights South,Asian,2014,Number,872,309
Crown Heights South,Black,2014,Number,11812,309
Crown Heights South,Latino,2014,Number,3366,309
Crown Heights South,White,2014,Number,5240,309
Sunset Park,Asian,2014,Number,17524,307
Sunset Park,Black,2014,Number,174,307
Sunset Park,Latino,2014,Number,14970,307
Sunset Park,White,2014,Number,7234,307
Bay Ridge,Asian,2014,Number,7030,310
Bay Ridge,Black,2014,Number,360,310
Bay Ridge,Latino,2014,Number,4417,310
Bay Ridge,White,2014,Number,12466,310
Borough Park,Asian,2014,Number,5500,312
Borough Park,Black,2014,Number,1505,312
Borough Park,Latino,2014,Number,5119,312
Borough Park,White,2014,Number,42563,312
Flatbush/Midwood,Asian,2014,Number,9687,314
Flatbush/Midwood,Black,2014,Number,7696,314
Flatbush/Midwood,Latino,2014,Number,8228,314
Flatbush/Midwood,White,2014,Number,12332,314
Sheepshead Bay,Asian,2014,Number,4640,315
Sheepshead Bay,Black,2014,Number,484,315
Sheepshead Bay,Latino,2014,Number,3860,315
Sheepshead Bay,White,2014,Number,16564,315
Bensonhurst,Asian,2014,Number,12383,311
Bensonhurst,Black,2014,Number,129,311
Bensonhurst,Latino,2014,Number,7387,311
Bensonhurst,White,2014,Number,16872,311
Coney Island,Asian,2014,Number,3986,313
Coney Island,Black,2014,Number,6798,313
Coney Island,Latino,2014,Number,9584,313
Coney Island,White,2014,Number,15955,313
Astoria,Asian,2014,Number,7369,401
Astoria,Black,2014,Number,5365,401
Astoria,Latino,2014,Number,11315,401
Astoria,White,2014,Number,6531,401
Jackson Heights,Asian,2014,Number,4693,403
Jackson Heights,Black,2014,Number,978,403
Jackson Heights,Latino,2014,Number,20324,403
Jackson Heights,White,2014,Number,1788,403
Flushing,Asian,2014,Number,32973,407
Flushing,Black,2014,Number,622,407
Flushing,Latino,2014,Number,6528,407
Flushing,White,2014,Number,5538,407
Bayside,Asian,2014,Number,4282,411
Bayside,Black,2014,Number,329,411
Bayside,Latino,2014,Number,553,411
Bayside,White,2014,Number,3098,411
Queens Village,Asian,2014,Number,1714,413
Queens Village,Black,2014,Number,10217,413
Queens Village,Latino,2014,Number,1091,413
Queens Village,White,2014,Number,1443,413
Fresh Meadows/Briarwood,Asian,2014,Number,9228,408
Fresh Meadows/Briarwood,Black,2014,Number,3581,408
Fresh Meadows/Briarwood,Latino,2014,Number,6679,408
Fresh Meadows/Briarwood,White,2014,Number,2854,408
Elmhurst/Corona,Asian,2014,Number,9762,404
Elmhurst/Corona,Black,2014,Number,3379,404
Elmhurst/Corona,Latino,2014,Number,15832,404
Elmhurst/Corona,White,2014,Number,3076,404
Rego Park/Forest Hills,Asian,2014,Number,5807,406
Rego Park/Forest Hills,Black,2014,Number,9,406
Rego Park/Forest Hills,Latino,2014,Number,2815,406
Rego Park/Forest Hills,White,2014,Number,4087,406
Sunnyside/Woodside,Asian,2014,Number,10534,402
Sunnyside/Woodside,Black,2014,Number,4,402
Sunnyside/Woodside,Latino,2014,Number,6852,402
Sunnyside/Woodside,White,2014,Number,3903,402
Ridgewood/Glendale,Asian,2014,Number,1571,405
Ridgewood/Glendale,Black,2014,Number,37,405
Ridgewood/Glendale,Latino,2014,Number,10303,405
Ridgewood/Glendale,White,2014,Number,6603,405
Woodhaven,Asian,2014,Number,5831,409
Woodhaven,Black,2014,Number,1058,409
Woodhaven,Latino,2014,Number,9346,409
Woodhaven,White,2014,Number,1759,409
Jamaica/St. Albans,Asian,2014,Number,3282,412
Jamaica/St. Albans,Black,2014,Number,19995,412
Jamaica/St. Albans,Latino,2014,Number,9716,412
Jamaica/St. Albans,White,2014,Number,783,412
Howard Beach,Asian,2014,Number,6296,410
Howard Beach,Black,2014,Number,3579,410
Howard Beach,Latino,2014,Number,8549,410
Howard Beach,White,2014,Number,1226,410
The Rockaways,Asian,2014,Number,626,414
The Rockaways,Black,2014,Number,9507,414
The Rockaways,Latino,2014,Number,6277,414
The Rockaways,White,2014,Number,4665,414
Riverdale,Asian,2014,Percent,0.10959,208
Riverdale,Black,2014,Percent,0.25366,208
Riverdale,Latino,2014,Percent,0.3161,208
Riverdale,White,2014,Percent,0.09498,208
Williamsbridge,Asian,2014,Percent,0.01621,212
Williamsbridge,Black,2014,Percent,0.15931,212
Williamsbridge,Latino,2014,Percent,0.3576,212
Williamsbridge,White,2014,Percent,0.22945,212
Throgs Neck,Asian,2014,Percent,0.16727,210
Throgs Neck,Black,2014,Percent,0.08694,210
Throgs Neck,Latino,2014,Percent,0.13226,210
Throgs Neck,White,2014,Percent,0.06995,210
Pelham Parkway,Asian,2014,Percent,0.165,211
Pelham Parkway,Black,2014,Percent,0.14798,211
Pelham Parkway,Latino,2014,Percent,0.20784,211
Pelham Parkway,White,2014,Percent,0.15337,211
Morrisania,Asian,2014,Percent,0.31871,203
Morrisania,Black,2014,Percent,0.3984,203
Morrisania,Latino,2014,Percent,0.43292,203
Morrisania,White,2014,Percent,0.40786,203
East Tremont,Asian,2014,Percent,0.31871,206
East Tremont,Black,2014,Percent,0.3984,206
East Tremont,Latino,2014,Percent,0.43292,206
East Tremont,White,2014,Percent,0.40786,206
Bedford Park,Asian,2014,Percent,0.44425,207
Bedford Park,Black,2014,Percent,0.13074,207
Bedford Park,Latino,2014,Percent,0.36769,207
Bedford Park,White,2014,Percent,0.0766,207
University Heights,Asian,2014,Percent,0.45455,205
University Heights,Black,2014,Percent,0.40458,205
University Heights,Latino,2014,Percent,0.47137,205
University Heights,White,2014,Percent,0.70248,205
Concourse/Highbridge,Asian,2014,Percent,0.66977,204
Concourse/Highbridge,Black,2014,Percent,0.29992,204
Concourse/Highbridge,Latino,2014,Percent,0.41924,204
Concourse/Highbridge,White,2014,Percent,0.2451,204
Unionport/Soundview,Asian,2014,Percent,0.19495,209
Unionport/Soundview,Black,2014,Percent,0.27964,209
Unionport/Soundview,Latino,2014,Percent,0.30389,209
Unionport/Soundview,White,2014,Percent,0.47291,209
Mott Haven,Asian,2014,Percent,0.40562,201
Mott Haven,Black,2014,Percent,0.4036,201
Mott Haven,Latino,2014,Percent,0.4379,201
Mott Haven,White,2014,Percent,0.49319,201
Hunts Point,Asian,2014,Percent,0.40562,202
Hunts Point,Black,2014,Percent,0.4036,202
Hunts Point,Latino,2014,Percent,0.4379,202
Hunts Point,White,2014,Percent,0.49319,202
Washington Heights,Asian,2014,Percent,0.3573,112
Washington Heights,Black,2014,Percent,0.20595,112
Washington Heights,Latino,2014,Percent,0.26377,112
Washington Heights,White,2014,Percent,0.19306,112
Manhattanville,Asian,2014,Percent,0.34796,109
Manhattanville,Black,2014,Percent,0.23041,109
Manhattanville,Latino,2014,Percent,0.33537,109
Manhattanville,White,2014,Percent,0.18533,109
Central Harlem,Asian,2014,Percent,0.17671,110
Central Harlem,Black,2014,Percent,0.32099,110
Central Harlem,Latino,2014,Percent,0.35581,110
Central Harlem,White,2014,Percent,0.13581,110
East Harlem,Asian,2014,Percent,0.41136,111
East Harlem,Black,2014,Percent,0.24791,111
East Harlem,Latino,2014,Percent,0.39617,111
East Harlem,White,2014,Percent,0.16314,111
Upper East Side,Asian,2014,Percent,0.05632,108
Upper East Side,Black,2014,Percent,0.11379,108
Upper East Side,Latino,2014,Percent,0.16718,108
Upper East Side,White,2014,Percent,0.08171,108
Upper West Side,Asian,2014,Percent,0.02887,107
Upper West Side,Black,2014,Percent,0.08705,107
Upper West Side,Latino,2014,Percent,0.20251,107
Upper West Side,White,2014,Percent,0.04016,107
Chelsea/Clinton,Asian,2014,Percent,0.09608,104
Chelsea/Clinton,Black,2014,Percent,0.44207,104
Chelsea/Clinton,Latino,2014,Percent,0.14349,104
Chelsea/Clinton,White,2014,Percent,0.09515,104
Midtown Business District,Asian,2014,Percent,0.09608,105
Midtown Business District,Black,2014,Percent,0.44207,105
Midtown Business District,Latino,2014,Percent,0.14349,105
Midtown Business District,White,2014,Percent,0.09515,105
Murray Hill/Stuyvesant,Asian,2014,Percent,0.20743,106
Murray Hill/Stuyvesant,Black,2014,Percent,0.2898,106
Murray Hill/Stuyvesant,Latino,2014,Percent,0.09121,106
Murray Hill/Stuyvesant,White,2014,Percent,0.07707,106
Lower East Side,Asian,2014,Percent,0.31494,103
Lower East Side,Black,2014,Percent,0.31482,103
Lower East Side,Latino,2014,Percent,0.28066,103
Lower East Side,White,2014,Percent,0.11452,103
Battery Park/Tribeca,Asian,2014,Percent,0.063,101
Battery Park/Tribeca,Black,2014,Percent,0.11968,101
Battery Park/Tribeca,Latino,2014,Percent,0.2368,101
Battery Park/Tribeca,White,2014,Percent,0.04447,101
Greenwich Village,Asian,2014,Percent,0.063,102
Greenwich Village,Black,2014,Percent,0.11968,102
Greenwich Village,Latino,2014,Percent,0.2368,102
Greenwich Village,White,2014,Percent,0.04447,102
Tottenville,Asian,2014,Percent,0.08017,503
Tottenville,Black,2014,Percent,0.04,503
Tottenville,Latino,2014,Percent,0.11065,503
Tottenville,White,2014,Percent,0.09296,503
South Beach,Asian,2014,Percent,0.06694,502
South Beach,Black,2014,Percent,0.10072,502
South Beach,Latino,2014,Percent,0.11625,502
South Beach,White,2014,Percent,0.08821,502
St. George,Asian,2014,Percent,0.05416,501
St. George,Black,2014,Percent,0.25522,501
St. George,Latino,2014,Percent,0.349,501
St. George,White,2014,Percent,0.09528,501
Williamsburg/Greenpoint,Asian,2014,Percent,0.21039,301
Williamsburg/Greenpoint,Black,2014,Percent,0.24633,301
Williamsburg/Greenpoint,Latino,2014,Percent,0.24335,301
Williamsburg/Greenpoint,White,2014,Percent,0.21541,301
Bushwick,Asian,2014,Percent,0.23829,304
Bushwick,Black,2014,Percent,0.31363,304
Bushwick,Latino,2014,Percent,0.28908,304
Bushwick,White,2014,Percent,0.15902,304
Bedford Stuyvesant,Asian,2014,Percent,0.29399,303
Bedford Stuyvesant,Black,2014,Percent,0.23603,303
Bedford Stuyvesant,Latino,2014,Percent,0.27111,303
Bedford Stuyvesant,White,2014,Percent,0.36333,303
Fort Greene/Brooklyn Hts,Asian,2014,Percent,0.15049,302
Fort Greene/Brooklyn Hts,Black,2014,Percent,0.17285,302
Fort Greene/Brooklyn Hts,Latino,2014,Percent,0.25711,302
Fort Greene/Brooklyn Hts,White,2014,Percent,0.09688,302
Park Slope,Asian,2014,Percent,0.19237,306
Park Slope,Black,2014,Percent,0.35002,306
Park Slope,Latino,2014,Percent,0.21636,306
Park Slope,White,2014,Percent,0.03066,306
Crown Heights North,Asian,2014,Percent,0.38811,308
Crown Heights North,Black,2014,Percent,0.26636,308
Crown Heights North,Latino,2014,Percent,0.38051,308
Crown Heights North,White,2014,Percent,0.14364,308
Brownsville,Asian,2014,Percent,0.17383,316
Brownsville,Black,2014,Percent,0.31577,316
Brownsville,Latino,2014,Percent,0.49094,316
Brownsville,White,2014,Percent,0.59124,316
East New York,Asian,2014,Percent,0.33037,305
East New York,Black,2014,Percent,0.25151,305
East New York,Latino,2014,Percent,0.31345,305
East New York,White,2014,Percent,0.4536,305
Canarsie,Asian,2014,Percent,0.08579,318
Canarsie,Black,2014,Percent,0.12396,318
Canarsie,Latino,2014,Percent,0.24562,318
Canarsie,White,2014,Percent,0.07586,318
East Flatbush,Asian,2014,Percent,0.5611,317
East Flatbush,Black,2014,Percent,0.16716,317
East Flatbush,Latino,2014,Percent,0.33778,317
East Flatbush,White,2014,Percent,0.14012,317
Crown Heights South,Asian,2014,Percent,0.54981,309
Crown Heights South,Black,2014,Percent,0.16582,309
Crown Heights South,Latino,2014,Percent,0.38276,309
Crown Heights South,White,2014,Percent,0.23339,309
Sunset Park,Asian,2014,Percent,0.34149,307
Sunset Park,Black,2014,Percent,0.0676,307
Sunset Park,Latino,2014,Percent,0.25004,307
Sunset Park,White,2014,Percent,0.2056,307
Bay Ridge,Asian,2014,Percent,0.22537,310
Bay Ridge,Black,2014,Percent,0.22843,310
Bay Ridge,Latino,2014,Percent,0.20945,310
Bay Ridge,White,2014,Percent,0.17519,310
Borough Park,Asian,2014,Percent,0.24993,312
Borough Park,Black,2014,Percent,0.44395,312
Borough Park,Latino,2014,Percent,0.25857,312
Borough Park,White,2014,Percent,0.35382,312
Flatbush/Midwood,Asian,2014,Percent,0.4271,314
Flatbush/Midwood,Black,2014,Percent,0.14346,314
Flatbush/Midwood,Latino,2014,Percent,0.32148,314
Flatbush/Midwood,White,2014,Percent,0.17054,314
Sheepshead Bay,Asian,2014,Percent,0.21397,315
Sheepshead Bay,Black,2014,Percent,0.09509,315
Sheepshead Bay,Latino,2014,Percent,0.29418,315
Sheepshead Bay,White,2014,Percent,0.17383,315
Bensonhurst,Asian,2014,Percent,0.16397,311
Bensonhurst,Black,2014,Percent,0.14462,311
Bensonhurst,Latino,2014,Percent,0.26961,311
Bensonhurst,White,2014,Percent,0.20655,311
Coney Island,Asian,2014,Percent,0.29195,313
Coney Island,Black,2014,Percent,0.48336,313
Coney Island,Latino,2014,Percent,0.50618,313
Coney Island,White,2014,Percent,0.25434,313
Astoria,Asian,2014,Percent,0.30328,401
Astoria,Black,2014,Percent,0.48978,401
Astoria,Latino,2014,Percent,0.19578,401
Astoria,White,2014,Percent,0.07816,401
Jackson Heights,Asian,2014,Percent,0.1391,403
Jackson Heights,Black,2014,Percent,0.11167,403
Jackson Heights,Latino,2014,Percent,0.17041,403
Jackson Heights,White,2014,Percent,0.10969,403
Flushing,Asian,2014,Percent,0.25085,407
Flushing,Black,2014,Percent,0.08886,407
Flushing,Latino,2014,Percent,0.15923,407
Flushing,White,2014,Percent,0.07984,407
Bayside,Asian,2014,Percent,0.08676,411
Bayside,Black,2014,Percent,0.21378,411
Bayside,Latino,2014,Percent,0.04646,411
Bayside,White,2014,Percent,0.05666,411
Queens Village,Asian,2014,Percent,0.05764,413
Queens Village,Black,2014,Percent,0.0905,413
Queens Village,Latino,2014,Percent,0.06205,413
Queens Village,White,2014,Percent,0.06334,413
Fresh Meadows/Briarwood,Asian,2014,Percent,0.17917,408
Fresh Meadows/Briarwood,Black,2014,Percent,0.19071,408
Fresh Meadows/Briarwood,Latino,2014,Percent,0.20053,408
Fresh Meadows/Briarwood,White,2014,Percent,0.06016,408
Elmhurst/Corona,Asian,2014,Percent,0.20277,404
Elmhurst/Corona,Black,2014,Percent,0.23927,404
Elmhurst/Corona,Latino,2014,Percent,0.20745,404
Elmhurst/Corona,White,2014,Percent,0.27216,404
Rego Park/Forest Hills,Asian,2014,Percent,0.17895,406
Rego Park/Forest Hills,Black,2014,Percent,0.00356,406
Rego Park/Forest Hills,Latino,2014,Percent,0.15098,406
Rego Park/Forest Hills,White,2014,Percent,0.07874,406
Sunnyside/Woodside,Asian,2014,Percent,0.21354,402
Sunnyside/Woodside,Black,2014,Percent,0.00193,402
Sunnyside/Woodside,Latino,2014,Percent,0.12965,402
Sunnyside/Woodside,White,2014,Percent,0.09388,402
Ridgewood/Glendale,Asian,2014,Percent,0.10138,405
Ridgewood/Glendale,Black,2014,Percent,0.01378,405
Ridgewood/Glendale,Latino,2014,Percent,0.19215,405
Ridgewood/Glendale,White,2014,Percent,0.07111,405
Woodhaven,Asian,2014,Percent,0.1356,409
Woodhaven,Black,2014,Percent,0.11985,409
Woodhaven,Latino,2014,Percent,0.14677,409
Woodhaven,White,2014,Percent,0.06569,409
Jamaica/St. Albans,Asian,2014,Percent,0.10711,412
Jamaica/St. Albans,Black,2014,Percent,0.12983,412
Jamaica/St. Albans,Latino,2014,Percent,0.25427,412
Jamaica/St. Albans,White,2014,Percent,0.18849,412
Howard Beach,Asian,2014,Percent,0.22889,410
Howard Beach,Black,2014,Percent,0.18407,410
Howard Beach,Latino,2014,Percent,0.24248,410
Howard Beach,White,2014,Percent,0.04052,410
The Rockaways,Asian,2014,Percent,0.13179,414
The Rockaways,Black,2014,Percent,0.2598,414
The Rockaways,Latino,2014,Percent,0.25707,414
The Rockaways,White,2014,Percent,0.12637,414
Riverdale,All Races and Ethnicities,2014,Number,22159,208
Williamsbridge,All Races and Ethnicities,2014,Number,27826,212
Throgs Neck,All Races and Ethnicities,2014,Number,11559,210
Pelham Parkway,All Races and Ethnicities,2014,Number,24227,211
Morrisania,All Races and Ethnicities,2014,Number,34200.83794,203
East Tremont,All Races and Ethnicities,2014,Number,35704.16206,206
Bedford Park,All Races and Ethnicities,2014,Number,42615,207
University Heights,All Races and Ethnicities,2014,Number,59688,205
Concourse/Highbridge,All Races and Ethnicities,2014,Number,52024,204
Unionport/Soundview,All Races and Ethnicities,2014,Number,55438,209
