"Name","Asthma Hospitalizations"
"Description","<normal><g class=""gr_ gr_5 gr-alert gr_gramm gr_inline_cards gr_run_anim Grammar only-ins doubleReplace replaceWithoutSep"" id=""5"" data-gr-id=""5"">Number</g> of asthma hospitalizations among NYC resident children by age groups (0 to 4, 5 to 17 and 0 to 17).<br />
<g class=""gr_ gr_6 gr-alert gr_gramm gr_inline_cards gr_run_anim Grammar only-ins doubleReplace replaceWithoutSep"" id=""6"" data-gr-id=""6"">Rate</g> of asthma hospitalizations per 10,000 children in specific age groups (0 to 4, 5 to 17 and 0 to 17).<br />
<br />
</normal>"
"Source Notes","New York State Statewide Planning and Research Cooperative System (SPARCS) Deidentified Hospital Discharge Data, retrieved from&nbsp;<g class=""gr_ gr_5 gr-alert gr_gramm gr_inline_cards gr_run_anim Grammar only-ins replaceWithoutSep"" id=""5"" data-gr-id=""5"">New</g>&nbsp;York City Department of Health and Mental Hygiene NYC Tracking Program: Environment and Health Data Portal. [Asthma Hospitalizations; 2000-2016].&nbsp;<a href=""http://a816-dohbesp.nyc.gov/IndicatorPublic/"" target=""_blank"">http://a816-dohbesp.nyc.gov/IndicatorPublic/</a>"
"Notes","<normal>Rates are calculated by using number of asthma hospitalizations among NYC resident children for particular age group, divided by the population of children for the same age group, expressed as cases per 10,000 resident children for the respective age group (i.e. asthma hospitalization among NYC resident children ages 0 to 4, divided by the population of children ages 0 to 4, expressed as cases per 10,000 population ages 0 to 4).<br />
<br />
UHFs with the value of&nbsp;<strong>0</strong>&nbsp;represent data suppressed by DOHMH due to small sample size or insufficient data.&nbsp;<br />
</normal>"

Location,Age Group,TimeFrame,DataFormat,Data,Fips
Canarsie - Flatlands,0 to 4 years,2005,Number,106,uhf208
Canarsie - Flatlands,5 to 17 Years,2005,Number,78,uhf208
Canarsie - Flatlands,5 to 17 Years,2005,Rate,21.8,uhf208
Central Harlem - Morningside Heights,0 to 4 years,2005,Number,173,uhf302
Central Harlem - Morningside Heights,0 to 4 years,2005,Rate,170.6,uhf302
Central Harlem - Morningside Heights,5 to 17 Years,2005,Number,210,uhf302
Central Harlem - Morningside Heights,5 to 17 Years,2005,Rate,78.4,uhf302
Chelsea - Clinton,0 to 4 years,2005,Number,22,uhf306
Chelsea - Clinton,0 to 4 years,2005,Rate,48.2,uhf306
Chelsea - Clinton,5 to 17 Years,2005,Number,18,uhf306
Chelsea - Clinton,5 to 17 Years,2005,Rate,26.3,uhf306
Coney Island - Sheepshead Bay,0 to 4 years,2005,Rate,23.5,uhf210
Coney Island - Sheepshead Bay,0 to 4 years,2005,Number,39,uhf210
Coney Island - Sheepshead Bay,5 to 17 Years,2005,Number,56,uhf210
Coney Island - Sheepshead Bay,5 to 17 Years,2005,Rate,13,uhf210
Crotona - Tremont,0 to 4 years,2005,Rate,220.2,uhf105
Crotona - Tremont,0 to 4 years,2005,Number,400,uhf105
Crotona - Tremont,5 to 17 Years,2005,Number,260,uhf105
Crotona - Tremont,5 to 17 Years,2005,Rate,54.3,uhf105
Downtown  - Heights - Slope,0 to 4 years,2005,Rate,49.9,uhf202
Downtown  - Heights - Slope,0 to 4 years,2005,Number,71,uhf202
Downtown  - Heights - Slope,5 to 17 Years,2005,Number,58,uhf202
Downtown  - Heights - Slope,5 to 17 Years,2005,Rate,21.8,uhf202
East Flatbush - Flatbush,0 to 4 years,2005,Number,227,uhf207
East Flatbush - Flatbush,0 to 4 years,2005,Rate,111.7,uhf207
East Flatbush - Flatbush,5 to 17 Years,2005,Number,231,uhf207
East Flatbush - Flatbush,5 to 17 Years,2005,Rate,40.5,uhf207
East Harlem,0 to 4 years,2005,Rate,173,uhf303
East Harlem,0 to 4 years,2005,Number,128,uhf303
East Harlem,5 to 17 Years,2005,Number,187,uhf303
East Harlem,5 to 17 Years,2005,Rate,91,uhf303
East New York,0 to 4 years,2005,Rate,164.8,uhf204
East New York,0 to 4 years,2005,Number,232,uhf204
East New York,5 to 17 Years,2005,Number,205,uhf204
East New York,5 to 17 Years,2005,Rate,49.9,uhf204
Flushing - Clearview,0 to 4 years,2005,Rate,52.6,uhf403
Flushing - Clearview,0 to 4 years,2005,Number,73,uhf403
Flushing - Clearview,5 to 17 Years,2005,Number,46,uhf403
Flushing - Clearview,5 to 17 Years,2005,Rate,14.3,uhf403
Fordham - Bronx Park,0 to 4 years,2005,Rate,150.8,uhf103
Fordham - Bronx Park,0 to 4 years,2005,Number,314,uhf103
Fordham - Bronx Park,5 to 17 Years,2005,Number,260,uhf103
Fordham - Bronx Park,5 to 17 Years,2005,Rate,51,uhf103
Fresh Meadows,0 to 4 years,2005,Number,32,uhf406
Fresh Meadows,0 to 4 years,2005,Rate,51,uhf406
Fresh Meadows,5 to 17 Years,2005,Number,20,uhf406
Fresh Meadows,5 to 17 Years,2005,Rate,14.3,uhf406
Gramercy Park -  Murray Hill,0 to 4 years,2005,Rate,30.8,uhf307
Gramercy Park -  Murray Hill,0 to 4 years,2005,Number,14,uhf307
Gramercy Park -  Murray Hill,5 to 17 Years,2005,Number,0,uhf307
Gramercy Park -  Murray Hill,5 to 17 Years,2005,Rate,15.3,uhf307
Greenpoint,0 to 4 years,2005,Number,43,uhf201
Greenpoint,0 to 4 years,2005,Rate,42.5,uhf201
Greenpoint,5 to 17 Years,2005,Number,37,uhf201
Greenpoint,5 to 17 Years,2005,Rate,18.3,uhf201
Greenwich Village - Soho,0 to 4 years,2005,Number,0,uhf308
Greenwich Village - Soho,0 to 4 years,2005,Rate,0,uhf308
Greenwich Village - Soho,5 to 17 Years,2005,Number,0,uhf308
Greenwich Village - Soho,5 to 17 Years,2005,Rate,3.8,uhf308
High Bridge - Morrisania,0 to 4 years,2005,Number,432,uhf106
High Bridge - Morrisania,0 to 4 years,2005,Rate,251.5,uhf106
High Bridge - Morrisania,5 to 17 Years,2005,Number,281,uhf106
High Bridge - Morrisania,5 to 17 Years,2005,Rate,61.1,uhf106
Hunts Point - Mott Haven,0 to 4 years,2005,Rate,178.4,uhf107
Hunts Point - Mott Haven,0 to 4 years,2005,Number,198,uhf107
Hunts Point - Mott Haven,5 to 17 Years,2005,Number,228,uhf107
Hunts Point - Mott Haven,5 to 17 Years,2005,Rate,74.1,uhf107
Jamaica,0 to 4 years,2005,Number,217,uhf408
Jamaica,0 to 4 years,2005,Rate,120.5,uhf408
Jamaica,5 to 17 Years,2005,Number,144,uhf408
Jamaica,5 to 17 Years,2005,Rate,28.9,uhf408
Kingsbridge - Riverdale,0 to 4 years,2005,Rate,56.4,uhf101
Kingsbridge - Riverdale,0 to 4 years,2005,Number,32,uhf101
Kingsbridge - Riverdale,5 to 17 Years,2005,Number,23,uhf101
Kingsbridge - Riverdale,5 to 17 Years,2005,Rate,18.9,uhf101
Long Island City - Astoria,0 to 4 years,2005,Rate,54.9,uhf401
Long Island City - Astoria,0 to 4 years,2005,Number,64,uhf401
Long Island City - Astoria,5 to 17 Years,2005,Number,64,uhf401
Long Island City - Astoria,5 to 17 Years,2005,Rate,25.5,uhf401
Lower Manhattan,0 to 4 years,2005,Number,8,uhf310
Lower Manhattan,0 to 4 years,2005,Rate,30.3,uhf310
Lower Manhattan,5 to 17 Years,2005,Number,0,uhf310
Lower Manhattan,5 to 17 Years,2005,Rate,19.5,uhf310
Manhattan,0 to 4 years,2005,Rate,72.6,36061
Manhattan,0 to 4 years,2005,Number,597,36061
Manhattan,5 to 17 Years,2005,Number,698,36061
Manhattan,5 to 17 Years,2005,Rate,41.5,36061
New York City,0 to 4 years,2005,Rate,95.1,3651000
New York City,0 to 4 years,2005,Number,5027,3651000
New York City,5 to 17 Years,2005,Number,4656,3651000
New York City,5 to 17 Years,2005,Rate,35.9,3651000
Northeast Bronx,0 to 4 years,2005,Number,131,uhf102
Northeast Bronx,0 to 4 years,2005,Rate,110.4,uhf102
Northeast Bronx,5 to 17 Years,2005,Number,145,uhf102
Northeast Bronx,5 to 17 Years,2005,Rate,42.7,uhf102
Pelham - Throgs Neck,0 to 4 years,2005,Number,283,uhf104
Pelham - Throgs Neck,0 to 4 years,2005,Rate,139,uhf104
Pelham - Throgs Neck,5 to 17 Years,2005,Number,240,uhf104
Pelham - Throgs Neck,5 to 17 Years,2005,Rate,45.3,uhf104
Port  Richmond,0 to 4 years,2005,Rate,81.7,uhf501
Port  Richmond,0 to 4 years,2005,Number,41,uhf501
Port  Richmond,5 to 17 Years,2005,Number,35,uhf501
Port  Richmond,5 to 17 Years,2005,Rate,24.4,uhf501
Queens,0 to 4 years,2005,Number,1026,36081
Queens,0 to 4 years,2005,Rate,75.1,36081
Queens,5 to 17 Years,2005,Number,831,36081
Queens,5 to 17 Years,2005,Rate,25,36081
Ridgewood - Forest Hills,0 to 4 years,2005,Rate,68.9,uhf405
Ridgewood - Forest Hills,0 to 4 years,2005,Number,99,uhf405
Ridgewood - Forest Hills,5 to 17 Years,2005,Number,72,uhf405
Ridgewood - Forest Hills,5 to 17 Years,2005,Rate,22.5,uhf405
Rockaway,0 to 4 years,2005,Number,123,uhf410
Rockaway,0 to 4 years,2005,Rate,149.2,uhf410
Rockaway,5 to 17 Years,2005,Number,108,uhf410
Rockaway,5 to 17 Years,2005,Rate,51.2,uhf410
South Beach - Tottenville,0 to 4 years,2005,Number,26,uhf504
South Beach - Tottenville,0 to 4 years,2005,Rate,24.3,uhf504
South Beach - Tottenville,5 to 17 Years,2005,Number,22,uhf504
South Beach - Tottenville,5 to 17 Years,2005,Rate,6.7,uhf504
Southeast Queens,0 to 4 years,2005,Rate,98.3,uhf409
Southeast Queens,0 to 4 years,2005,Number,108,uhf409
Southeast Queens,5 to 17 Years,2005,Number,82,uhf409
Southeast Queens,5 to 17 Years,2005,Rate,24.5,uhf409
Southwest Queens,0 to 4 years,2005,Rate,75.8,uhf407
Southwest Queens,0 to 4 years,2005,Number,132,uhf407
Southwest Queens,5 to 17 Years,2005,Number,85,uhf407
Southwest Queens,5 to 17 Years,2005,Rate,18.8,uhf407
Stapleton - St. George,0 to 4 years,2005,Number,48,uhf502
Stapleton - St. George,0 to 4 years,2005,Rate,62.9,uhf502
Stapleton - St. George,5 to 17 Years,2005,Number,43,uhf502
Stapleton - St. George,5 to 17 Years,2005,Rate,20.4,uhf502
Staten Island,0 to 4 years,2005,Rate,46.6,36085
Staten Island,0 to 4 years,2005,Number,132,36085
Staten Island,5 to 17 Years,2005,Number,119,36085
Staten Island,5 to 17 Years,2005,Rate,14.4,36085
Sunset Park,0 to 4 years,2005,Number,41,uhf205
Sunset Park,0 to 4 years,2005,Rate,42.9,uhf205
Sunset Park,5 to 17 Years,2005,Number,15,uhf205
Sunset Park,5 to 17 Years,2005,Rate,7.2,uhf205
Union Square - Lower East Side,0 to 4 years,2005,Rate,59.2,uhf309
Union Square - Lower East Side,0 to 4 years,2005,Number,50,uhf309
Union Square - Lower East Side,5 to 17 Years,2005,Number,56,uhf309
Union Square - Lower East Side,5 to 17 Years,2005,Rate,29.4,uhf309
Upper East Side,0 to 4 years,2005,Rate,40.3,uhf305
Upper East Side,0 to 4 years,2005,Number,48,uhf305
Upper East Side,5 to 17 Years,2005,Number,15,uhf305
Upper East Side,5 to 17 Years,2005,Rate,8.6,uhf305
Upper West Side,0 to 4 years,2005,Number,63,uhf304
Upper West Side,0 to 4 years,2005,Rate,52.8,uhf304
Upper West Side,5 to 17 Years,2005,Number,44,uhf304
Upper West Side,5 to 17 Years,2005,Rate,22.7,uhf304
Washington Heights - Inwood,0 to 4 years,2005,Rate,49.8,uhf301
Washington Heights - Inwood,0 to 4 years,2005,Number,83,uhf301
Washington Heights - Inwood,5 to 17 Years,2005,Number,120,uhf301
Washington Heights - Inwood,5 to 17 Years,2005,Rate,27.6,uhf301
West Queens,0 to 4 years,2005,Number,163,uhf402
West Queens,0 to 4 years,2005,Rate,51.5,uhf402
West Queens,5 to 17 Years,2005,Number,135,uhf402
West Queens,5 to 17 Years,2005,Rate,19.7,uhf402
Williamsburg - Bushwick,0 to 4 years,2005,Number,280,uhf211
Williamsburg - Bushwick,0 to 4 years,2005,Rate,173.8,uhf211
Williamsburg - Bushwick,5 to 17 Years,2005,Number,323,uhf211
Williamsburg - Bushwick,5 to 17 Years,2005,Rate,77.2,uhf211
Willowbrook,0 to 4 years,2005,Rate,34.4,uhf503
Willowbrook,0 to 4 years,2005,Number,17,uhf503
Willowbrook,5 to 17 Years,2005,Number,17,uhf503
Willowbrook,5 to 17 Years,2005,Rate,11.9,uhf503
Bayside - Little Neck,0 to 4 years,2006,Number,18,uhf404
Bayside - Little Neck,0 to 4 years,2006,Rate,43.4,uhf404
Bayside - Little Neck,5 to 17 Years,2006,Number,17,uhf404
Bayside - Little Neck,5 to 17 Years,2006,Rate,14,uhf404
Bedford Stuyvesant - Crown Heights,0 to 4 years,2006,Number,383,uhf203
Bedford Stuyvesant - Crown Heights,0 to 4 years,2006,Rate,177.9,uhf203
Bedford Stuyvesant - Crown Heights,5 to 17 Years,2006,Number,386,uhf203
Bedford Stuyvesant - Crown Heights,5 to 17 Years,2006,Rate,63.7,uhf203
Bensonhurst - Bay Ridge,0 to 4 years,2006,Number,20,uhf209
Bensonhurst - Bay Ridge,0 to 4 years,2006,Rate,16.8,uhf209
Bensonhurst - Bay Ridge,5 to 17 Years,2006,Number,12,uhf209
Bensonhurst - Bay Ridge,5 to 17 Years,2006,Rate,4.4,uhf209
Borough Park,0 to 4 years,2006,Rate,16.6,uhf206
Borough Park,0 to 4 years,2006,Number,50,uhf206
Borough Park,5 to 17 Years,2006,Number,39,uhf206
Borough Park,5 to 17 Years,2006,Rate,6.2,uhf206
Bronx,0 to 4 years,2006,Number,1766,36005
Bronx,5 to 17 Years,2006,Number,1542,36005
Bronx,5 to 17 Years,2006,Rate,56.9,36005
Brooklyn,0 to 4 years,2006,Rate,90.4,36047
Brooklyn,0 to 4 years,2006,Number,1580,36047
Brooklyn,5 to 17 Years,2006,Number,1424,36047
Brooklyn,5 to 17 Years,2006,Rate,33,36047
Canarsie - Flatlands,0 to 4 years,2006,Rate,77.8,uhf208
Canarsie - Flatlands,0 to 4 years,2006,Number,89,uhf208
Canarsie - Flatlands,5 to 17 Years,2006,Number,80,uhf208
Canarsie - Flatlands,5 to 17 Years,2006,Rate,22.7,uhf208
Central Harlem - Morningside Heights,0 to 4 years,2006,Number,176,uhf302
Central Harlem - Morningside Heights,0 to 4 years,2006,Rate,177.4,uhf302
Central Harlem - Morningside Heights,5 to 17 Years,2006,Number,173,uhf302
Central Harlem - Morningside Heights,5 to 17 Years,2006,Rate,65.7,uhf302
Chelsea - Clinton,0 to 4 years,2006,Number,42,uhf306
Chelsea - Clinton,0 to 4 years,2006,Rate,90.9,uhf306
Chelsea - Clinton,5 to 17 Years,2006,Number,0,uhf306
Chelsea - Clinton,5 to 17 Years,2006,Rate,13,uhf306
Coney Island - Sheepshead Bay,0 to 4 years,2006,Rate,29.5,uhf210
Coney Island - Sheepshead Bay,0 to 4 years,2006,Number,49,uhf210
Coney Island - Sheepshead Bay,5 to 17 Years,2006,Number,40,uhf210
Coney Island - Sheepshead Bay,5 to 17 Years,2006,Rate,9.4,uhf210
Crotona - Tremont,0 to 4 years,2006,Rate,184,uhf105
Crotona - Tremont,0 to 4 years,2006,Number,328,uhf105
Crotona - Tremont,5 to 17 Years,2006,Number,258,uhf105
Crotona - Tremont,5 to 17 Years,2006,Rate,55,uhf105
Downtown  - Heights - Slope,0 to 4 years,2006,Rate,61.8,uhf202
Downtown  - Heights - Slope,0 to 4 years,2006,Number,89,uhf202
Downtown  - Heights - Slope,5 to 17 Years,2006,Number,63,uhf202
Downtown  - Heights - Slope,5 to 17 Years,2006,Rate,24.1,uhf202
East Flatbush - Flatbush,0 to 4 years,2006,Number,246,uhf207
East Flatbush - Flatbush,0 to 4 years,2006,Rate,125.3,uhf207
East Flatbush - Flatbush,5 to 17 Years,2006,Number,230,uhf207
East Flatbush - Flatbush,5 to 17 Years,2006,Rate,41.6,uhf207
East Harlem,0 to 4 years,2006,Rate,182.2,uhf303
East Harlem,0 to 4 years,2006,Number,131,uhf303
East Harlem,5 to 17 Years,2006,Number,158,uhf303
East Harlem,5 to 17 Years,2006,Rate,78.2,uhf303
East New York,0 to 4 years,2006,Rate,190.1,uhf204
East New York,0 to 4 years,2006,Number,262,uhf204
East New York,5 to 17 Years,2006,Number,188,uhf204
East New York,5 to 17 Years,2006,Rate,46.4,uhf204
Flushing - Clearview,0 to 4 years,2006,Rate,50.5,uhf403
Flushing - Clearview,0 to 4 years,2006,Number,68,uhf403
Flushing - Clearview,5 to 17 Years,2006,Number,66,uhf403
Flushing - Clearview,5 to 17 Years,2006,Rate,20.7,uhf403
Fordham - Bronx Park,0 to 4 years,2006,Rate,159.9,uhf103
Fordham - Bronx Park,0 to 4 years,2006,Number,326,uhf103
Fordham - Bronx Park,5 to 17 Years,2006,Number,241,uhf103
Fordham - Bronx Park,5 to 17 Years,2006,Rate,48.1,uhf103
Fresh Meadows,0 to 4 years,2006,Number,28,uhf406
Fresh Meadows,0 to 4 years,2006,Rate,45.1,uhf406
Fresh Meadows,5 to 17 Years,2006,Number,24,uhf406
Fresh Meadows,5 to 17 Years,2006,Rate,17.2,uhf406
Gramercy Park -  Murray Hill,0 to 4 years,2006,Rate,50.5,uhf307
Gramercy Park -  Murray Hill,0 to 4 years,2006,Number,23,uhf307
Gramercy Park -  Murray Hill,5 to 17 Years,2006,Number,11,uhf307
Gramercy Park -  Murray Hill,5 to 17 Years,2006,Rate,20.7,uhf307
Greenpoint,0 to 4 years,2006,Number,59,uhf201
Greenpoint,0 to 4 years,2006,Rate,59.1,uhf201
Greenpoint,5 to 17 Years,2006,Number,38,uhf201
Greenpoint,5 to 17 Years,2006,Rate,19.5,uhf201
Greenwich Village - Soho,0 to 4 years,2006,Number,0,uhf308
Greenwich Village - Soho,0 to 4 years,2006,Rate,0,uhf308
Greenwich Village - Soho,5 to 17 Years,2006,Number,0,uhf308
Greenwich Village - Soho,5 to 17 Years,2006,Rate,11.4,uhf308
High Bridge - Morrisania,0 to 4 years,2006,Number,396,uhf106
High Bridge - Morrisania,0 to 4 years,2006,Rate,233,uhf106
High Bridge - Morrisania,5 to 17 Years,2006,Number,261,uhf106
High Bridge - Morrisania,5 to 17 Years,2006,Rate,57.6,uhf106
Hunts Point - Mott Haven,0 to 4 years,2006,Rate,201.8,uhf107
Hunts Point - Mott Haven,0 to 4 years,2006,Number,223,uhf107
Hunts Point - Mott Haven,5 to 17 Years,2006,Number,216,uhf107
Hunts Point - Mott Haven,5 to 17 Years,2006,Rate,71.1,uhf107
Jamaica,0 to 4 years,2006,Number,208,uhf408
Jamaica,0 to 4 years,2006,Rate,118.9,uhf408
Jamaica,5 to 17 Years,2006,Number,134,uhf408
Jamaica,5 to 17 Years,2006,Rate,27.3,uhf408
Kingsbridge - Riverdale,0 to 4 years,2006,Rate,50.2,uhf101
Kingsbridge - Riverdale,0 to 4 years,2006,Number,28,uhf101
Kingsbridge - Riverdale,5 to 17 Years,2006,Number,27,uhf101
Kingsbridge - Riverdale,5 to 17 Years,2006,Rate,22.4,uhf101
Long Island City - Astoria,0 to 4 years,2006,Rate,54.3,uhf401
Long Island City - Astoria,0 to 4 years,2006,Number,61,uhf401
Long Island City - Astoria,5 to 17 Years,2006,Number,50,uhf401
Long Island City - Astoria,5 to 17 Years,2006,Rate,20.5,uhf401
Lower Manhattan,0 to 4 years,2006,Number,7,uhf310
Lower Manhattan,0 to 4 years,2006,Rate,25.2,uhf310
Lower Manhattan,5 to 17 Years,2006,Number,0,uhf310
Lower Manhattan,5 to 17 Years,2006,Rate,12.5,uhf310
Manhattan,0 to 4 years,2006,Rate,80.7,36061
Manhattan,0 to 4 years,2006,Number,654,36061
Manhattan,5 to 17 Years,2006,Number,605,36061
Manhattan,5 to 17 Years,2006,Rate,36.3,36061
New York City,0 to 4 years,2006,Rate,99.3,3651000
New York City,0 to 4 years,2006,Number,5164,3651000
New York City,5 to 17 Years,2006,Number,4525,3651000
New York City,5 to 17 Years,2006,Rate,35.4,3651000
Northeast Bronx,0 to 4 years,2006,Number,155,uhf102
Northeast Bronx,0 to 4 years,2006,Rate,133.4,uhf102
Northeast Bronx,5 to 17 Years,2006,Number,134,uhf102
Northeast Bronx,5 to 17 Years,2006,Rate,39.9,uhf102
Pelham - Throgs Neck,0 to 4 years,2006,Number,306,uhf104
Pelham - Throgs Neck,0 to 4 years,2006,Rate,153.3,uhf104
Pelham - Throgs Neck,5 to 17 Years,2006,Number,254,uhf104
Pelham - Throgs Neck,5 to 17 Years,2006,Rate,48.4,uhf104
Port  Richmond,0 to 4 years,2006,Rate,91.3,uhf501
Port  Richmond,0 to 4 years,2006,Number,46,uhf501
Port  Richmond,5 to 17 Years,2006,Number,35,uhf501
Port  Richmond,5 to 17 Years,2006,Rate,24.5,uhf501
Queens,0 to 4 years,2006,Rate,78.5,36081
Queens,0 to 4 years,2006,Number,1048,36081
Queens,5 to 17 Years,2006,Number,823,36081
Queens,5 to 17 Years,2006,Rate,25,36081
Ridgewood - Forest Hills,0 to 4 years,2006,Rate,73.9,uhf405
Ridgewood - Forest Hills,0 to 4 years,2006,Number,105,uhf405
Ridgewood - Forest Hills,5 to 17 Years,2006,Number,67,uhf405
Ridgewood - Forest Hills,5 to 17 Years,2006,Rate,21.2,uhf405
Rockaway,0 to 4 years,2006,Number,108,uhf410
Rockaway,0 to 4 years,2006,Rate,132,uhf410
Rockaway,5 to 17 Years,2006,Number,104,uhf410
Rockaway,5 to 17 Years,2006,Rate,49.4,uhf410
South Beach - Tottenville,0 to 4 years,2006,Number,22,uhf504
South Beach - Tottenville,0 to 4 years,2006,Rate,20.8,uhf504
South Beach - Tottenville,5 to 17 Years,2006,Number,26,uhf504
South Beach - Tottenville,5 to 17 Years,2006,Rate,8.1,uhf504
Southeast Queens,0 to 4 years,2006,Rate,114.5,uhf409
Southeast Queens,0 to 4 years,2006,Number,121,uhf409
Southeast Queens,5 to 17 Years,2006,Number,83,uhf409
Southeast Queens,5 to 17 Years,2006,Rate,25.4,uhf409
Southwest Queens,0 to 4 years,2006,Rate,102.1,uhf407
Southwest Queens,0 to 4 years,2006,Number,172,uhf407
Southwest Queens,5 to 17 Years,2006,Number,99,uhf407
Southwest Queens,5 to 17 Years,2006,Rate,22.1,uhf407
Stapleton - St. George,0 to 4 years,2006,Number,26,uhf502
Stapleton - St. George,0 to 4 years,2006,Rate,34.3,uhf502
Stapleton - St. George,5 to 17 Years,2006,Number,51,uhf502
Stapleton - St. George,5 to 17 Years,2006,Rate,24.4,uhf502
Staten Island,0 to 4 years,2006,Number,116,36085
Staten Island,0 to 4 years,2006,Rate,41.3,36085
Staten Island,5 to 17 Years,2006,Number,131,36085
Staten Island,5 to 17 Years,2006,Rate,16.1,36085
Sunset Park,0 to 4 years,2006,Number,36,uhf205
Sunset Park,0 to 4 years,2006,Rate,37.9,uhf205
Sunset Park,5 to 17 Years,2006,Number,22,uhf205
Sunset Park,5 to 17 Years,2006,Rate,10.7,uhf205
Union Square - Lower East Side,0 to 4 years,2006,Rate,87,uhf309
Union Square - Lower East Side,0 to 4 years,2006,Number,71,uhf309
Union Square - Lower East Side,5 to 17 Years,2006,Number,58,uhf309
Union Square - Lower East Side,5 to 17 Years,2006,Rate,31,uhf309
Upper East Side,0 to 4 years,2006,Rate,33.7,uhf305
Upper East Side,0 to 4 years,2006,Number,40,uhf305
Upper East Side,5 to 17 Years,2006,Number,12,uhf305
Upper East Side,5 to 17 Years,2006,Rate,6.7,uhf305
Upper West Side,0 to 4 years,2006,Number,57,uhf304
Upper West Side,0 to 4 years,2006,Rate,47.7,uhf304
Upper West Side,5 to 17 Years,2006,Number,49,uhf304
Upper West Side,5 to 17 Years,2006,Rate,25,uhf304
Washington Heights - Inwood,0 to 4 years,2006,Rate,63.3,uhf301
Washington Heights - Inwood,0 to 4 years,2006,Number,101,uhf301
Washington Heights - Inwood,5 to 17 Years,2006,Number,101,uhf301
Washington Heights - Inwood,5 to 17 Years,2006,Rate,24,uhf301
West Queens,0 to 4 years,2006,Number,150,uhf402
West Queens,0 to 4 years,2006,Rate,48.1,uhf402
West Queens,5 to 17 Years,2006,Number,129,uhf402
West Queens,5 to 17 Years,2006,Rate,18.9,uhf402
Williamsburg - Bushwick,0 to 4 years,2006,Number,295,uhf211
Williamsburg - Bushwick,0 to 4 years,2006,Rate,187.2,uhf211
Williamsburg - Bushwick,5 to 17 Years,2006,Number,254,uhf211
Williamsburg - Bushwick,5 to 17 Years,2006,Rate,61.9,uhf211
Willowbrook,0 to 4 years,2006,Rate,44.9,uhf503
Willowbrook,0 to 4 years,2006,Number,22,uhf503
Willowbrook,5 to 17 Years,2006,Number,17,uhf503
Willowbrook,5 to 17 Years,2006,Rate,12.1,uhf503
Bayside - Little Neck,0 to 4 years,2007,Number,20,uhf404
Bayside - Little Neck,0 to 4 years,2007,Rate,48.3,uhf404
Bayside - Little Neck,5 to 17 Years,2007,Number,14,uhf404
Bayside - Little Neck,5 to 17 Years,2007,Rate,11.5,uhf404
Bedford Stuyvesant - Crown Heights,0 to 4 years,2007,Number,279,uhf203
Bedford Stuyvesant - Crown Heights,0 to 4 years,2007,Rate,132.1,uhf203
Bedford Stuyvesant - Crown Heights,5 to 17 Years,2007,Number,291,uhf203
Bedford Stuyvesant - Crown Heights,5 to 17 Years,2007,Rate,49.4,uhf203
Bensonhurst - Bay Ridge,0 to 4 years,2007,Number,38,uhf209
Bensonhurst - Bay Ridge,0 to 4 years,2007,Rate,31.5,uhf209
Bensonhurst - Bay Ridge,5 to 17 Years,2007,Number,14,uhf209
Bensonhurst - Bay Ridge,5 to 17 Years,2007,Rate,5.1,uhf209
Borough Park,0 to 4 years,2007,Rate,14.9,uhf206
Borough Park,0 to 4 years,2007,Number,46,uhf206
Borough Park,5 to 17 Years,2007,Number,34,uhf206
Borough Park,5 to 17 Years,2007,Rate,5.3,uhf206
Bronx,0 to 4 years,2007,Number,1691,36005
Bronx,0 to 4 years,2007,Rate,165,36005
Bronx,5 to 17 Years,2007,Number,1476,36005
Bronx,5 to 17 Years,2007,Rate,55,36005
Brooklyn,0 to 4 years,2007,Rate,75,36047
Brooklyn,0 to 4 years,2007,Number,1309,36047
Brooklyn,5 to 17 Years,2007,Number,1200,36047
Brooklyn,5 to 17 Years,2007,Rate,28.1,36047
Canarsie - Flatlands,0 to 4 years,2007,Rate,56.8,uhf208
Canarsie - Flatlands,0 to 4 years,2007,Number,64,uhf208
Canarsie - Flatlands,5 to 17 Years,2007,Number,57,uhf208
Canarsie - Flatlands,5 to 17 Years,2007,Rate,16.4,uhf208
Central Harlem - Morningside Heights,0 to 4 years,2007,Number,135,uhf302
Central Harlem - Morningside Heights,0 to 4 years,2007,Rate,136.8,uhf302
Central Harlem - Morningside Heights,5 to 17 Years,2007,Number,175,uhf302
Central Harlem - Morningside Heights,5 to 17 Years,2007,Rate,68,uhf302
Chelsea - Clinton,0 to 4 years,2007,Number,23,uhf306
Chelsea - Clinton,0 to 4 years,2007,Rate,48.8,uhf306
Chelsea - Clinton,5 to 17 Years,2007,Number,22,uhf306
Chelsea - Clinton,5 to 17 Years,2007,Rate,31.8,uhf306
Coney Island - Sheepshead Bay,0 to 4 years,2007,Rate,35.7,uhf210
Coney Island - Sheepshead Bay,0 to 4 years,2007,Number,60,uhf210
Coney Island - Sheepshead Bay,5 to 17 Years,2007,Number,58,uhf210
